연간 예산	annual budget
안전밸트	seat belt
쌤	slang. “teacher”
십만	one hundred thousand
시간마다	hourly
스크랩	news paper clippings
스카치	scotch
수력	hydroelectric power
속도 제한	speed limit
속달 우편	Express mail
세배돈	traditional bowing money
선편	surface mail
성실하게	faithfully
서툴게	poorly
생각깊게	thoughtfully
사용한도	credit limit
사진사	photographer
사학년	senior
사랑니	wisdom tooth
빈둥거리다	to loiter
비품실	office supply room
비상출구	emergency exit
비닐랩	plastic wrap
블라인드	blinds
부척하다	to be lacking, not enough
분별있다	to be sensible
부실하다	to be weak, or poor (in structure, health)
보름날	a full moon
번지수	street number
발야구	kick ball
발매인	ticket agent
발권창구	ticket counter
반팔셔츠	short sleeved shirt
바베큐	barbecue
반 바지	short pants
미식	American style
뭘요	you're welcome (lit: for what?)
미래에	in the future
무수하다	To be countless, myriad
목캔디	throat lozenges
먹물	ink
맨발	bare feet
말을걸다	to address
만약에	in the case that/in case
만땅이다	to fill to the limit
리마콩	Lima bean
룸서비스	room service
뛰어놀다	to romp about
뛰어나가다	to run outside
뛰어오다	to come running
뜯어지다	To be torn
떠들썩하다	to be clamorous
땅콩버터	peanut butter
땅값	price of land
들이켜다	to drink, gulp, chug
들여놓다	to set foot in
뒤꿈치	the heel
뒤편	backside
뒷골목	back street
되풀이되다	to repeat, reiterate
동서	the husband of one's wife's sister, brother in-law
동양학	Asian studies (major)
독립기념일	independence day
도착탑승구	arrival gate
도착시간	arrival time
도사	a saint
독창적이다	creative, original
더더욱	more and more
대한항공	Korean air
대입	university entrance exam
대보름	15th January (by the lunar calendar)
다음부터	from next time
늦잠 자다	to sleep in late
뉴스앵커	news anchor
다습하다	to be humid
놀러 가다	to go out and enjoy oneself
노출되다	to be exposed
노동절	labor day
내장	intestines
께서	from, hon. subj. marker
길 잃다	to be lost
기상	weather conditions
길 모르다	to not know the way
기계 공학	mechanical engineering (major)
기말 시험	a final exam
그때그때	each time
귀성길	the return home for the holidays
궁지	palace
국립공원	national park
구두 시험	oral test
광고주	advertiser
괴다	to prop, support
공항터미널	air terminal
고온	a high temperature
고추가루	red-pepper powder
결후	Adam’s apple
겸상	a table for two
게으르게	lazily
건축학	architecture (major)
거짓말쟁이	liar
갔다 오다	To go and come back
간단	simple
검도	fencing
뉴질랜드	New Zealand
나이지리아	Nigeria
페루	Peru
아르헨티나	Argentina
몽골	Mongolia
터키	Turkey
필리핀	The Philippines
말레이시아	Malaysia
인도네시아	Indonesia
네팔	Nepal
메세지	message, voice mail etc.
배 부르다	to be full, stuffed
응원	a cheer (song), support
때문(에)	because (of)
나중(에)	later
부적절	inappropriate
대상으로	aimed at, intended for..
과음	drinking too much, excessive drinking
과소비	overspending, excessive consumption
고분	ancient tomb
황새	a stork
까마귀	a crow
꿩	a pheasant
두루미	a crane
공작새	a peacock
오골계	a black chicken
복어	a blowfish
바닷가재	a lobster
대게	a king crab
대하	a big shrimp
전복	an ear shell
바지락	a short-necked clam
광어	a flatfish
갈치	a hairtail
고등어	a mackerel
주꾸미	a super-mini variety of an octopus
붕어	a crucian carp
노래기	a millipede
지네	a centipede
하루살이	a dayfly
사마귀	a praying mantis
방아깨비	an oriental long-headed locust, oriental locust
여치	a katydid
여왕벌	a queen bee
개구리알	a frog spawn
황소개구리	a bullfrog
청개구리	a tree frog
올챙이	a tadpole
구렁이	a huge serpent
독사	a venomous snake
바다사자	a sea lion
두더지	a mole
반달곰	an asiatic black bear
북극곰	a polar bear
백곰	a white bear
고라니	an elk
꽃사슴	a fawn
퓨마	a puma
조랑말	a pony
망아지	a foal
젖소	a milk cow
도둑고양이	a stray cat
유기묘	an abandoned cat
새끼고양이	a baby cat
유기견	an abandoned dog
조류	a bird
어류	a fish
고안하다	devise; conceive
승승장구	win victory after victory
맞닥뜨리다	face; encounter
근본적인	root; drastic; foundation
처절하다	heartbreaking; sorrowful
상실	loss; forfeiture
망라하다	include; contain everything
걸쭉하다	thick; pulp; mushy
부단하다	constant; steady; ceaseless
고정관념	a fixed idea; stereotype
만찬	dinner; banquet; supper
궁정	court; royal court
낭떠러지	cliff; precipice; bluff
촘촘하다	dense; fine; close; thick
완충하다	to buffer; to absorb a shock
중창	insole (of a shoe)
다잡다	concentrate on; keep a tight rein
부수다	break; smash; destroy
손수만든	homemade
난생처음	for the first time in ones life
몸집	build; frame; physique
애먹다	have a bitter experience; have a hard time of it
마지못하다	reluctantly; unwillingly; be driven to
부득이	unavoidably; out of necessity
내키다	feel like; be inclined to do
보안망	security network
들쑥날쑥	crooked; uneven
헐레벌떡	puffing and panting; helter skelter; hurriedly
뒤죽박죽	mishmash; mixed up; topsy-turvy
아수라장	turmoil; chaos
계승하다	inherit; take over
고조되다	heighten; build up; exalt
소홀하다	to negligent; be careless
수놓다	embroider
맛깔스럽다	palatable; pleasant tasting
일가	family; household
집합	assembling; congregating
구심점	pivot; pivotal
종가	head family
선점하다	preoccupy; occupy in advance
항로	sea route
여객	passenger; tourist
시판하다	put on the market
농축	enriched; concentrated; condensed
개척하다	pioneer; trailblaze
상향	upward; uptrend
수심	depth of water
정서적인	emotional; affective
조기교육	early education
인격형성	character building
융합하다	to fuse; merge
바짓가랑이	trouser leg
펄럭이다	flutter; flap
절룩거리다	to limp; hobble
출찰구	ticket office
밀려나가다	To be pushed out
꾸역꾸역	crowding; swarming
시커멓다	to be jet black
비굴하다	subservient; sneaky; mean
나름대로	in it's own way
반항	resistance;defiance
동화하다	to assimilate; adapt
길들다	become tame; become domesticated
몰골	unshapely figure; poor appearance
처참하다	ghastly; gruesome; miserable
진압하다	suppress; quell
수수방관	sit back and watch; be an idle onlooker (사자성어)
확전	escalation of war
무자비	cruelty
학살	carnage; massacre
우월	superiority
주권국	a sovereign nation
발현하다	revealed; manifest
무의식적인	unconscious; automatic
공허하다	void; vacant
반증	counter-evidence
고독	loneliness; solitude
점치다	forecast; tell a fortune
융기하다	bulge; protrude
배제하다	remove; eliminate; exclude
지표	index; indicator; pointer
조짐	sign; omen
북새통에	during the commotion
자기지본	owned capital
부실	weak; unreliable; insolvent
주재대사	ambassador
죽을 쑤다	make gruel /porridge
제사상	food for ancestral worship
여실히	vivid; real; truly
새어나오다	to leak
침출수	leaked water (from soil) *environmental term
매립하다	reclaim (land)
진정	appease; pacify
구제역	foot and mouth disease
미숙아	premature baby
황폐	desolation; dilapidate
결실하다	bear fruit; be successful
작물	farm products
상급	upper grade
합의하다	consult; come to an agreement
약제	medicine; remedy
경중	importance; gravity
농후	thick; dense; deepening
덩달다	follow suit
유류	oil
공관	official residence
총영사관	consulate general
처사	measure; step; treatment
총선	a general election
과수	fruit tree
적기에	in good time; apt time
채집	collection; gathering
방제	(animal) control
유인	incentive; enduce
체감하다	feel; diminish successively
휘청거리다	reel; feel unsteady
제설하다	remove snow
기습	sudden attack; ambush
성과물	product; fruit; outcome
이마저	even this
절실히	acutely; keenly; deeply
배급하다	to distribute; to ration
물자	commodities; resources
포화	saturation
감수하다	decrease; drop
고가의	expensive
사뿐히	softly (사...)
종종걸음	short and quick steps
장기 자랑	talent show
파헤치다	dig up; bring to light
변질하다	deteriorate
도출하다	deduce; derive
건의하다	make a recommendation / proposal to
당첨금	prize money
관철하다	accomplish; carry out
안주하다	settle for; be satisfied with
집필하다	write (for a magazine)
과수면	oversleep
무기력증	lethargy
재추진하다	re-propel; push forward again
공지되다	to be notified
지연되다	fall behind; be delayed
의료 조치	medical action
탈모	loss of hair
주도권	initiative; leadership
장악하다	seize; grasp; command
참신한	novel; original (참..._
심사 기준	judging criterion
종전에	formerly; before
애꿎다	blameless; innocent
기승	strong minded; unrelenting
수리 업체	repair business
양해하다	understand; agree
심화	deepen, intensify
궁상스럽다	poor; pathetic
납부	payment
의무 교육	compulsory education
국고	state coffers
객관적인	to be objective
결여되다	to lack; want; be absent
법제화하다	to legislate
두서없이	incoherently
횡설수설	(사자성어) gibberish
주도하다	to lead
재조립하다	to reassemble
명시적	to be visible; clear
맥락	context; connection; coherence; logical connection
불순물	impurities
제조	manufacturing
국한되다	to be confined; limited
부스러지다	to crumble; break
우려하다	to be worried about
민감	sensitivity
통신망	communications network
유출	draining out; discharging
접근성	accessibility
차등	gradation (difference)
폐회사	a closing address
표창	commendation; honoring
총평	a general survey
선서	oath
얼마든지	as much as one likes
격려사	words of encouragement
개회 선언	announce the opening of a meeting
균형적인	balanced
얼핏 보다	catch a glimpse
이성적인	rational
구축	to establish/build
편의성	convenience
식견	knowledge
전력 낭비	waste of energy
여러 차례	on several occassions
언급하다	to mention
일시적인	temporary
소염진통제	painkiller to reduce an inflammation
난청	hearing problem
치열하다	intense
산물	product
입양	adoption
말미암다	to be caused by
불문한	unquestionable
촉발하다	to cause; to trigger off
가해지다	become afflicted
치사	casualty
훗날	some day
고수하다	adhere to; defend stubbornly
일간	daily (paper)
별다른	nothing special
눈에 익다	get used to seeing; accustomed to
배치하다	arrange; distribute; deploy; station
확산하다	spread; proliferate
정착하다	settle down; fix
재배하다	raise; grow
의식 있다	conscious of
훼손	damage; injury; waste
희미해지다	fade away
우후죽순	mushroom; sprout up (after the rain)
비틀비틀	stagger
야심	ambition
부풀다	inflate; rise; swell
화를 풀다	let off steam
눈에 차다	be satisfactory
신랑감	prospective bridgegroom
실직	loss of employment
학창 시절	ones school days
불현듯이	suddenly
성품	disposition; temperament
헐값의	dirt cheap
번듯하다	to be flawless; clean cut; straight
다부지다	to be staunch; determined
입주하다	to move in; live in
들썩이다	shake; become restless
뜸해지다	become infrequent; let up
뜨끔하다	stinging; harsh
화끈하다	flush; glow
부도	non-payment; dishonor
집약	integration; intensity
격리	isolation; insulation
양날의 칼	Double edged sword
산화물	Oxide
질소	Nitrogen
아황산가스	Sulfur Dioxide
머지않아	soon; before long
도사리다	lurk (in); be harbored
무해하다	harmless
불가피하게	inevitably; unavoidably
비축	saving for an emergency
촉진하다	give impetus to; boost
소량	small quantity
특성상	characteristic
허와 실	true and false
단기	short-term
기하다	have in mind; anticipate
심중	care; caution; prudence (noun)
납입하다	to pay (a tax)
